Hotel,is_canceled,lead_time,Lead_Time_Group,arrival_date_year,arrival_date_month,Month_Number_Final,arrival_date_week_number,arrival_date_day_of_month,Total stay (Week + Weekend),total guests(child + adult + baby),Family Flag,country_name,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,deposit_type,days_in_waiting_list,adr in INR ,required_car_parking_spaces,total_of_special_requests,Revenue
City Hotel,0.00,105,91-180,2015,8,8,33,10,3,2,Family,Spain,Online TA,TA/TO,0,0,0,0,No Deposit,0,6885,0,1,20655
Resort Hotel,0.00,0,0-30,2016,1,1,2,5,1,1,Family,Portugal,Direct,Direct,0,0,0,0,No Deposit,0,3420,0,0,3420
City Hotel,1.00,80,31-90,2017,8,8,31,4,2,2,Family,Spain,Online TA,TA/TO,0,0,0,0,No Deposit,0,11700,0,0,23400
Resort Hotel,0.00,1,0-30,2016,3,3,10,5,1,2,Family,Portugal,Direct,Direct,0,0,0,0,No Deposit,0,4950,0,0,4950
City Hotel,1.00,75,31-90,2017,4,4,13,1,7,2,Family,Germany,Online TA,TA/TO,0,0,0,0,No Deposit,0,11340,0,1,79380
City Hotel,0.00,41,31-90,2015,9,9,36,4,1,1,Family,Unknown,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,38,7470,0,0,7470
City Hotel,0.00,31,31-90,2015,10,10,41,4,3,2,Family,United Kingdom,Online TA,TA/TO,0,0,0,0,No Deposit,0,8505,0,1,25515
City Hotel,1.00,148,91-180,2017,5,5,18,4,2,2,Family,Portugal,Groups,TA/TO,0,0,0,0,Non Refund,0,8550,0,0,17100
Resort Hotel,0.00,34,31-90,2017,4,4,15,9,7,2,Family,Germany,Groups,TA/TO,0,0,0,0,No Deposit,0,7200,0,0,50400
City Hotel,0.00,24,0-30,2016,1,1,2,6,2,2,Family,Brazil,Online TA,TA/TO,0,0,0,0,No Deposit,0,10395,1,1,20790
City Hotel,0.00,4,0-30,2017,4,4,14,4,1,2,Family,Spain,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,0,9720,1,1,9720
Resort Hotel,0.00,19,0-30,2015,12,12,49,2,2,1,Family,Germany,Groups,Corporate,0,0,0,0,No Deposit,0,3240,0,0,6480
Resort Hotel,0.00,339,180+,2017,3,3,10,11,7,2,Family,Germany,Groups,TA/TO,0,0,0,1,No Deposit,0,2880,0,0,20160
City Hotel,0.00,117,91-180,2016,8,8,33,9,3,2,Family,Portugal,Online TA,TA/TO,0,0,0,0,No Deposit,0,10287,0,1,30861
Resort Hotel,1.00,200,180+,2016,5,5,19,2,7,4,Family,Portugal,Online TA,TA/TO,0,0,0,0,No Deposit,0,9153,0,1,64071
Resort Hotel,0.00,22,0-30,2015,10,10,41,8,7,2,Family,United Kingdom,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,0,3250.8,0,0,22755.6
City Hotel,0.00,44,31-90,2016,12,12,50,6,4,3,Family,Spain,Direct,Direct,0,0,0,0,No Deposit,0,8100,0,0,32400
Resort Hotel,0.00,82,31-90,2016,12,12,50,7,4,2,Family,Spain,Groups,Direct,0,0,0,0,No Deposit,0,3537,1,0,14148
Resort Hotel,1.00,95,91-180,2016,6,6,24,7,7,2,Family,Unknown,Online TA,TA/TO,0,0,0,0,No Deposit,0,10697.4,0,1,74881.8
Resort Hotel,0.00,96,91-180,2017,8,8,32,12,7,3,Family,Portugal,Online TA,TA/TO,0,0,0,0,No Deposit,0,19539,0,0,136773
Resort Hotel,0.00,179,91-180,2016,7,7,29,10,11,2,Family,United Kingdom,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,0,9589.5,0,3,105484.5
City Hotel,0.00,0,0-30,2016,6,6,24,10,1,2,Family,France,Direct,Direct,0,0,0,0,No Deposit,0,9810,0,0,9810
City Hotel,1.00,34,31-90,2017,5,5,19,12,4,2,Family,Spain,Online TA,TA/TO,0,0,0,0,No Deposit,0,15300,0,1,61200
Resort Hotel,0.00,261,180+,2016,10,10,41,6,2,2,Family,Portugal,Groups,TA/TO,0,0,0,0,No Deposit,0,7830,0,0,15660
City Hotel,0.00,0,0-30,2015,10,10,41,4,2,2,Family,Unknown,Online TA,TA/TO,0,0,0,0,No Deposit,0,11340,0,0,22680
City Hotel,1.00,43,31-90,2017,6,6,22,3,1,3,Family,Portugal,Online TA,TA/TO,0,0,0,0,No Deposit,0,19152,0,1,19152
City Hotel,0.00,13,0-30,2016,3,3,11,8,2,2,Family,Netherlands,Online TA,TA/TO,0,0,0,0,No Deposit,0,7290,0,0,14580
City Hotel,1.00,33,31-90,2016,3,3,10,2,4,2,Family,Portugal,Online TA,TA/TO,0,0,0,0,No Deposit,0,6579,0,0,26316
Resort Hotel,0.00,50,31-90,2015,7,7,29,12,5,2,Family,Spain,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,0,11070,0,0,55350
Resort Hotel,0.00,152,91-180,2017,4,4,14,5,5,1,Family,United Kingdom,Groups,TA/TO,0,0,0,4,No Deposit,0,6030,1,0,30150
Resort Hotel,0.00,5,0-30,2015,9,9,37,7,5,2,Family,Spain,Online TA,TA/TO,0,0,0,0,No Deposit,0,14490,0,0,72450
Resort Hotel,0.00,11,0-30,2015,10,10,41,10,1,2,Family,Portugal,Corporate,Corporate,0,0,0,4,No Deposit,0,4050,0,0,4050
Resort Hotel,0.00,77,31-90,2017,5,5,18,4,5,2,Family,United Kingdom,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,0,4320,0,0,21600
City Hotel,1.00,3,0-30,2016,3,3,10,2,2,2,Family,France,Online TA,TA/TO,0,0,0,0,No Deposit,0,9090,0,0,18180
City Hotel,0.00,9,0-30,2017,4,4,14,2,1,2,Family,United States,Online TA,TA/TO,0,0,0,0,No Deposit,0,9018,0,0,9018
City Hotel,1.00,135,91-180,2015,12,12,49,5,2,1,Family,Portugal,Groups,TA/TO,0,0,0,0,No Deposit,0,4626,0,0,9252
City Hotel,0.00,7,0-30,2016,10,10,41,6,2,1,Family,France,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,0,11250,0,0,22500
Resort Hotel,0.00,146,91-180,2016,11,11,46,7,21,2,Family,Germany,Offline TA/TO,TA/TO,0,0,0,1,No Deposit,0,6354,1,2,133434
Resort Hotel,1.00,150,91-180,2017,5,5,19,11,5,2,Family,Belgium,Online TA,TA/TO,0,0,0,0,No Deposit,0,7650,0,0,38250
City Hotel,0.00,12,0-30,2017,2,2,6,9,4,2,Family,France,Online TA,TA/TO,0,0,0,0,No Deposit,0,5184,0,1,20736
Resort Hotel,1.00,238,180+,2017,2,2,6,10,2,1,Family,Portugal,Groups,TA/TO,0,0,0,0,Non Refund,0,4230,0,0,8460
City Hotel,0.00,11,0-30,2015,9,9,37,9,3,2,Family,Portugal,Online TA,TA/TO,0,0,0,0,No Deposit,0,7276.5,0,1,21829.5
Resort Hotel,0.00,0,0-30,2015,8,8,32,3,1,2,Family,Portugal,Online TA,TA/TO,0,0,0,0,No Deposit,0,13028.4,0,0,13028.4
Resort Hotel,0.00,0,0-30,2016,4,4,15,4,2,1,Family,Portugal,Corporate,Corporate,1,0,4,0,No Deposit,0,3780,0,0,7560
Resort Hotel,1.00,83,31-90,2016,4,4,15,4,7,2,Family,Portugal,Online TA,TA/TO,0,0,0,0,No Deposit,0,4698,0,3,32886
Resort Hotel,1.00,306,180+,2017,7,7,26,1,14,2,Family,Unknown,Online TA,TA/TO,0,0,0,0,No Deposit,0,12442.5,0,2,174195
City Hotel,0.00,5,0-30,2017,5,5,18,6,1,3,Family,Portugal,Online TA,TA/TO,0,0,0,2,No Deposit,0,14400,0,2,14400
City Hotel,0.00,8,0-30,2015,12,12,49,1,2,1,Family,Spain,Direct,Direct,0,0,0,0,No Deposit,0,6750,0,0,13500
Resort Hotel,0.00,0,0-30,2016,10,10,42,12,1,2,Family,United Kingdom,Direct,Direct,0,0,0,0,No Deposit,0,11700,0,0,11700
Resort Hotel,0.00,176,91-180,2016,7,7,29,12,14,2,Family,Unknown,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,0,9432.9,1,0,132060.6
Resort Hotel,1.00,151,91-180,2016,10,10,41,8,2,1,Family,Brazil,Online TA,TA/TO,0,0,0,0,No Deposit,0,5715,0,0,11430
City Hotel,1.00,109,91-180,2017,5,5,18,6,4,2,Family,Portugal,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,0,10890,0,1,43560
City Hotel,1.00,227,180+,2017,6,6,22,3,5,2,Family,Unknown,Online TA,TA/TO,0,0,0,0,No Deposit,0,12474,0,2,62370
Resort Hotel,1.00,304,180+,2017,6,6,23,8,5,2,Family,Portugal,Groups,TA/TO,0,0,0,1,Non Refund,0,8460,0,0,42300
City Hotel,1.00,230,180+,2016,9,9,37,6,5,2,Family,Portugal,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,0,12330,0,0,61650
Resort Hotel,1.00,108,91-180,2016,3,3,10,1,1,2,Family,Portugal,Online TA,TA/TO,0,1,0,0,No Deposit,0,4176,0,2,4176
Resort Hotel,0.00,24,0-30,2016,12,12,49,3,7,1,Family,United Kingdom,Online TA,TA/TO,0,0,0,0,No Deposit,0,4950,0,1,34650
City Hotel,1.00,325,180+,2015,9,9,37,7,2,2,Family,Portugal,Groups,TA/TO,0,1,0,0,Non Refund,0,5580,0,0,11160
City Hotel,1.00,454,180+,2016,10,10,41,6,2,2,Family,Portugal,Groups,TA/TO,0,0,0,0,Non Refund,0,5580,0,0,11160
Resort Hotel,0.00,118,91-180,2015,8,8,33,10,9,2,Family,Portugal,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,0,11043,1,1,99387
City Hotel,0.00,48,31-90,2015,9,9,37,11,1,1,Family,Portugal,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,48,7200,0,0,7200
City Hotel,0.00,35,31-90,2016,2,2,7,7,3,2,Family,Belgium,Direct,Direct,0,0,0,0,No Deposit,0,6255,0,0,18765
Resort Hotel,0.00,0,0-30,2015,11,11,45,5,1,1,Family,Portugal,Corporate,Corporate,0,0,0,0,No Deposit,0,3150,0,0,3150
City Hotel,1.00,69,31-90,2017,4,4,14,6,3,1,Family,Portugal,Corporate,Corporate,0,0,0,0,Non Refund,0,7650,0,0,22950
City Hotel,0.00,0,0-30,2016,5,5,20,10,3,1,Family,Unknown,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,0,9792,0,0,29376
City Hotel,1.00,257,180+,2017,8,8,32,7,5,2,Family,Unknown,Online TA,TA/TO,0,0,0,0,No Deposit,0,8019,0,0,40095
Resort Hotel,0.00,115,91-180,2015,7,7,28,10,9,2,Family,Unknown,Online TA,TA/TO,0,0,0,0,No Deposit,0,10854,0,2,97686
City Hotel,1.00,8,0-30,2016,10,10,41,7,4,2,Family,Portugal,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,0,15840,0,0,63360
Resort Hotel,0.00,13,0-30,2016,2,2,6,5,2,2,Family,Portugal,Online TA,TA/TO,0,0,0,1,No Deposit,0,5220,0,0,10440
Resort Hotel,0.00,6,0-30,2017,6,6,23,8,1,1,Family,Portugal,Online TA,TA/TO,1,0,1,0,No Deposit,0,9504,0,0,9504
City Hotel,0.00,29,0-30,2017,5,5,19,9,2,1,Family,France,Groups,TA/TO,0,0,0,3,No Deposit,0,11700,0,0,23400
Resort Hotel,0.00,27,0-30,2016,6,6,24,9,2,2,Family,France,Online TA,TA/TO,0,0,0,0,No Deposit,0,12690,1,1,25380
City Hotel,1.00,134,91-180,2017,6,6,23,7,2,2,Family,Portugal,Offline TA/TO,TA/TO,0,0,0,0,Non Refund,0,9900,0,0,19800
Resort Hotel,0.00,4,0-30,2016,3,3,11,7,2,1,Family,Portugal,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,0,2790,1,0,5580
Resort Hotel,1.00,393,180+,2016,10,10,41,8,4,2,Family,Portugal,Groups,TA/TO,0,0,0,0,Non Refund,0,6480,0,0,25920
Resort Hotel,0.00,0,0-30,2016,1,1,3,12,1,1,Family,Portugal,Corporate,Corporate,1,0,3,0,No Deposit,0,3420,0,0,3420
City Hotel,0.00,135,91-180,2015,12,12,49,5,3,2,Family,Spain,Groups,TA/TO,0,0,0,0,No Deposit,0,5580,0,0,16740
City Hotel,0.00,47,31-90,2017,2,2,6,8,3,2,Family,France,Online TA,TA/TO,0,0,0,0,No Deposit,0,8586,0,1,25758
City Hotel,1.00,4,0-30,2016,9,9,37,5,2,2,Family,Unknown,Online TA,TA/TO,0,0,0,0,No Deposit,0,13410,0,0,26820
City Hotel,1.00,16,0-30,2017,3,3,9,2,5,2,Family,Unknown,Online TA,TA/TO,0,0,0,0,No Deposit,0,8262,0,0,41310
City Hotel,0.00,0,0-30,2017,8,8,31,1,2,1,Family,Unknown,Online TA,TA/TO,0,0,0,1,No Deposit,0,14400,0,0,28800
Resort Hotel,0.00,19,0-30,2017,3,3,10,7,4,2,Family,Unknown,Direct,Direct,0,0,0,0,No Deposit,0,6750,1,0,27000
City Hotel,0.00,59,31-90,2016,2,2,6,6,4,2,Family,Unknown,Groups,TA/TO,0,0,0,0,No Deposit,0,5580,0,0,22320
City Hotel,0.00,65,31-90,2017,3,3,11,12,4,2,Family,France,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,0,6570,0,1,26280
Resort Hotel,0.00,4,0-30,2016,7,7,27,1,1,2,Family,Spain,Online TA,TA/TO,0,0,0,0,No Deposit,0,13590,1,1,13590
Resort Hotel,1.00,181,180+,2017,3,3,9,1,25,2,Family,Portugal,Groups,TA/TO,0,0,0,0,No Deposit,0,5274,0,0,131850
City Hotel,0.00,23,0-30,2015,10,10,41,4,4,2,Family,Unknown,Online TA,TA/TO,0,0,0,0,No Deposit,0,9450,0,2,37800
City Hotel,0.00,121,91-180,2016,9,9,37,9,6,3,Family,United States,Online TA,TA/TO,0,0,0,0,No Deposit,0,8078.4,0,0,48470.4
Resort Hotel,0.00,0,0-30,2015,10,10,41,9,1,2,Family,Portugal,Online TA,TA/TO,0,0,0,0,No Deposit,0,6030,0,0,6030
Resort Hotel,0.00,2,0-30,2017,8,8,32,8,1,4,Family,France,Online TA,TA/TO,0,0,0,0,No Deposit,0,27000,0,1,27000
City Hotel,1.00,134,91-180,2015,12,12,49,4,4,2,Family,Portugal,Offline TA/TO,TA/TO,0,0,0,0,Non Refund,91,5850,0,0,23400
City Hotel,0.00,4,0-30,2016,3,3,11,7,4,1,Family,Unknown,Offline TA/TO,TA/TO,0,0,0,1,No Deposit,0,7920,0,0,31680
City Hotel,1.00,19,0-30,2015,10,10,41,6,3,2,Family,Portugal,Offline TA/TO,TA/TO,1,1,0,0,Non Refund,0,8100,0,0,24300
City Hotel,0.00,6,0-30,2016,4,4,15,7,1,1,Family,Portugal,Aviation,Corporate,0,0,0,0,No Deposit,0,8550,0,0,8550
Resort Hotel,0.00,1,0-30,2017,3,3,9,4,1,2,Family,Portugal,Online TA,TA/TO,0,0,0,2,No Deposit,0,5850,0,1,5850
Resort Hotel,0.00,103,91-180,2016,2,2,7,9,2,2,Family,France,Groups,TA/TO,0,0,0,0,No Deposit,0,4500,0,0,9000
City Hotel,0.00,79,31-90,2015,10,10,41,10,2,2,Family,Portugal,Groups,TA/TO,0,0,0,0,No Deposit,0,5580,0,0,11160
Resort Hotel,0.00,1,0-30,2015,9,9,37,9,5,2,Family,United Kingdom,Online TA,TA/TO,0,0,0,1,No Deposit,0,14256,0,0,71280
City Hotel,0.00,10,0-30,2015,9,9,36,5,6,2,Family,Spain,Online TA,TA/TO,0,0,0,0,No Deposit,0,9915.3,0,2,59491.8
City Hotel,0.00,210,180+,2015,10,10,41,8,4,2,Family,France,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,0,6547.5,0,0,26190
City Hotel,0.00,151,91-180,2016,8,8,32,5,3,2,Family,United Kingdom,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,0,5737.5,0,0,17212.5
City Hotel,0.00,97,91-180,2016,8,8,32,1,3,3,Family,France,Online TA,TA/TO,0,0,0,0,No Deposit,0,13527,0,2,40581
City Hotel,1.00,48,31-90,2016,10,10,41,5,2,2,Family,Portugal,Groups,TA/TO,0,0,0,0,Non Refund,0,10800,0,0,21600
City Hotel,0.00,7,0-30,2016,7,7,29,11,2,1,Family,Portugal,Corporate,Corporate,1,1,16,1,No Deposit,0,6030,0,1,12060
Resort Hotel,0.00,38,31-90,2017,5,5,18,1,1,2,Family,Spain,Online TA,TA/TO,0,0,0,0,No Deposit,0,8424,0,0,8424
City Hotel,1.00,37,31-90,2016,12,12,49,2,4,2,Family,United States,Online TA,TA/TO,0,0,0,0,No Deposit,0,6732,0,1,26928
City Hotel,0.00,48,31-90,2017,3,3,9,2,1,2,Family,United States,Direct,Direct,0,0,0,0,No Deposit,0,6930,0,0,6930
City Hotel,0.00,17,0-30,2016,12,12,50,10,1,2,Family,Portugal,Online TA,TA/TO,1,0,5,0,No Deposit,0,8550,0,0,8550
City Hotel,1.00,129,91-180,2017,4,4,14,3,2,2,Family,Portugal,Groups,TA/TO,0,0,0,0,Non Refund,0,9000,0,0,18000
City Hotel,1.00,293,180+,2015,8,8,32,6,2,2,Family,Portugal,Groups,TA/TO,0,1,0,0,Non Refund,0,5580,0,0,11160
Resort Hotel,1.00,236,180+,2017,7,7,27,4,7,4,Family,United Kingdom,Online TA,TA/TO,0,0,0,0,No Deposit,0,17987.4,0,0,125911.8
Resort Hotel,1.00,383,180+,2016,10,10,41,6,4,2,Family,Portugal,Groups,TA/TO,0,0,0,0,No Deposit,0,4320,0,0,17280
City Hotel,0.00,2,0-30,2017,2,2,6,9,1,1,Family,Portugal,Online TA,TA/TO,0,0,0,0,No Deposit,0,7920,0,1,7920
City Hotel,1.00,30,0-30,2016,9,9,37,7,1,2,Family,Brazil,Online TA,TA/TO,0,0,0,0,No Deposit,0,9810,0,3,9810
Resort Hotel,1.00,23,0-30,2016,12,12,50,10,2,2,Family,Spain,Online TA,TA/TO,0,0,0,0,No Deposit,0,6480,0,1,12960
City Hotel,1.00,67,31-90,2016,4,4,15,9,2,2,Family,United Kingdom,Online TA,TA/TO,0,0,0,0,No Deposit,0,12393,0,0,24786
City Hotel,1.00,328,180+,2017,8,8,31,2,7,2,Family,Brazil,Online TA,TA/TO,0,0,0,0,No Deposit,0,15480,0,2,108360
Resort Hotel,1.00,161,91-180,2016,6,6,23,4,8,2,Family,Portugal,Online TA,TA/TO,0,0,0,0,No Deposit,0,6480,0,1,51840
Resort Hotel,1.00,3,0-30,2016,6,6,24,6,1,2,Family,Portugal,Corporate,Corporate,0,0,0,0,No Deposit,0,5850,0,0,5850
Resort Hotel,0.00,270,180+,2017,7,7,27,6,3,2,Family,Brazil,Online TA,TA/TO,0,0,0,0,No Deposit,0,11331,0,3,33993
Resort Hotel,1.00,2,0-30,2016,6,6,24,5,1,2,Family,Unknown,Online TA,TA/TO,0,0,0,0,No Deposit,0,9810,0,1,9810
Resort Hotel,1.00,143,91-180,2016,8,8,32,3,7,2,Family,Portugal,Online TA,TA/TO,0,0,0,0,No Deposit,0,18990,0,0,132930
City Hotel,1.00,56,31-90,2017,3,3,10,10,3,2,Family,Netherlands,Online TA,TA/TO,0,0,0,0,No Deposit,0,8748,0,0,26244
City Hotel,0.00,166,91-180,2016,10,10,41,6,4,2,Family,France,Online TA,TA/TO,0,0,0,0,No Deposit,0,10692,0,2,42768
Resort Hotel,0.00,163,91-180,2016,5,5,19,5,9,2,Family,United Kingdom,Online TA,TA/TO,0,0,0,0,No Deposit,0,7407.9,1,1,66671.1
Resort Hotel,0.00,23,0-30,2016,3,3,11,12,1,2,Family,Spain,Online TA,TA/TO,0,0,0,0,No Deposit,0,4320,0,0,4320
City Hotel,1.00,323,180+,2015,9,9,36,5,4,2,Family,Portugal,Groups,TA/TO,0,1,0,0,No Deposit,0,5580,0,0,22320
Resort Hotel,1.00,56,31-90,2017,1,1,1,3,4,3,Family,Unknown,Online TA,TA/TO,0,0,0,0,No Deposit,0,7830,0,2,31320
City Hotel,0.00,4,0-30,2015,12,12,50,8,2,1,Family,France,Online TA,TA/TO,0,0,0,0,No Deposit,0,5613.3,0,0,11226.6
Resort Hotel,1.00,218,180+,2016,9,9,37,8,4,2,Family,Portugal,Online TA,TA/TO,0,0,0,0,No Deposit,0,10800,0,1,43200
City Hotel,0.00,138,91-180,2016,5,5,19,7,1,2,Family,Spain,Online TA,TA/TO,0,0,0,0,No Deposit,0,10287,1,1,10287
Resort Hotel,0.00,1,0-30,2017,8,8,32,10,1,2,Family,Spain,Direct,TA/TO,0,0,0,0,No Deposit,0,18450,0,2,18450
City Hotel,1.00,67,31-90,2017,2,2,7,12,2,2,Family,Portugal,Groups,TA/TO,0,0,0,0,Non Refund,0,7200,0,0,14400
Resort Hotel,0.00,179,91-180,2016,7,7,29,11,5,2,Family,Portugal,Offline TA/TO,TA/TO,0,0,0,1,No Deposit,0,2223,0,1,11115
Resort Hotel,0.00,31,31-90,2015,11,11,46,10,4,3,Family,Spain,Corporate,Corporate,0,0,0,3,No Deposit,0,4860,0,0,19440
City Hotel,0.00,23,0-30,2015,11,11,45,5,1,1,Family,Portugal,Corporate,Corporate,0,0,0,0,No Deposit,0,5850,0,0,5850
City Hotel,0.00,251,180+,2017,7,7,27,8,7,2,Family,Germany,Online TA,TA/TO,0,0,0,0,No Deposit,0,9639,0,2,67473
Resort Hotel,0.00,43,31-90,2016,2,2,7,11,4,2,Family,Portugal,Online TA,TA/TO,0,0,0,0,No Deposit,0,4176,0,0,16704
City Hotel,0.00,49,31-90,2016,9,9,37,4,2,2,Family,Sweden,Online TA,TA/TO,0,0,0,0,No Deposit,0,9882,0,3,19764
City Hotel,0.00,231,180+,2016,9,9,38,11,4,2,Family,Portugal,Online TA,TA/TO,0,0,0,0,No Deposit,0,9027,0,1,36108
City Hotel,1.00,89,31-90,2016,9,9,36,2,2,2,Family,Spain,Online TA,TA/TO,0,0,0,0,No Deposit,0,12231,0,0,24462
City Hotel,1.00,66,31-90,2017,3,3,10,10,3,2,Family,Portugal,Groups,TA/TO,0,0,0,0,No Deposit,0,7200,0,0,21600
City Hotel,0.00,86,31-90,2016,4,4,15,9,4,2,Family,Netherlands,Offline TA/TO,TA/TO,0,0,0,1,No Deposit,0,7267.5,0,1,29070
Resort Hotel,0.00,6,0-30,2016,2,2,6,5,4,2,Family,Portugal,Direct,Direct,0,0,0,0,No Deposit,0,4050,0,0,16200
Resort Hotel,0.00,27,0-30,2015,11,11,45,3,3,2,Family,Belgium,Online TA,TA/TO,0,0,0,0,No Deposit,0,5913,0,2,17739
Resort Hotel,1.00,212,180+,2016,4,4,16,11,7,2,Family,Portugal,Groups,Direct,0,0,0,0,Non Refund,0,6034.5,0,0,42241.5
City Hotel,1.00,211,180+,2017,8,8,31,3,4,2,Family,Unknown,Online TA,TA/TO,0,0,0,1,No Deposit,0,15300,0,0,61200
Resort Hotel,0.00,15,0-30,2016,4,4,15,7,3,2,Family,Belgium,Online TA,TA/TO,0,0,0,0,No Deposit,0,7650,0,0,22950
Resort Hotel,0.00,0,0-30,2016,2,2,6,2,1,2,Family,Portugal,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,0,2745,0,0,2745
City Hotel,0.00,206,180+,2016,9,9,37,8,3,2,Family,Netherlands,Online TA,TA/TO,0,0,0,0,No Deposit,0,11421,0,2,34263
Resort Hotel,0.00,23,0-30,2016,11,11,46,12,7,2,Family,Unknown,Online TA,TA/TO,0,0,0,1,No Deposit,0,5165.1,0,0,36155.7
City Hotel,0.00,57,31-90,2016,11,11,46,9,2,0,Non-Family,Unknown,Direct,Direct,0,0,0,0,No Deposit,0,14884.2,0,2,29768.4
Resort Hotel,1.00,88,31-90,2016,12,12,49,1,3,2,Family,Portugal,Online TA,TA/TO,0,0,0,0,No Deposit,0,3591,0,1,10773
Resort Hotel,0.00,9,0-30,2017,8,8,32,6,2,2,Family,Portugal,Direct,Direct,0,0,0,0,No Deposit,0,19710,1,1,39420
City Hotel,1.00,37,31-90,2017,6,6,24,12,3,2,Family,Portugal,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,0,8910,0,0,26730
City Hotel,0.00,0,0-30,2016,2,2,6,2,2,1,Family,Portugal,Corporate,Corporate,1,1,2,0,No Deposit,0,5850,0,0,11700
Resort Hotel,1.00,160,91-180,2017,6,6,22,1,10,2,Family,Portugal,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,0,6156,0,0,61560
City Hotel,1.00,46,31-90,2017,6,6,23,6,4,3,Family,Unknown,Online TA,TA/TO,0,0,0,0,No Deposit,0,18900,0,1,75600
City Hotel,0.00,82,31-90,2016,4,4,15,8,4,2,Family,Netherlands,Online TA,TA/TO,0,0,0,0,No Deposit,0,8950.5,0,1,35802
City Hotel,1.00,143,91-180,2017,5,5,18,4,2,2,Family,Portugal,Groups,TA/TO,0,0,0,0,Non Refund,0,10800,0,0,21600
Resort Hotel,0.00,214,180+,2015,10,10,40,2,5,2,Family,Spain,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,0,3726,0,0,18630
City Hotel,0.00,46,31-90,2016,2,2,7,7,5,1,Family,Portugal,Direct,Direct,0,0,0,0,No Deposit,0,5680.8,0,0,28404
Resort Hotel,0.00,126,91-180,2017,3,3,10,6,5,2,Family,United Kingdom,Online TA,TA/TO,0,0,0,0,No Deposit,0,5760,0,2,28800
City Hotel,0.00,0,0-30,2015,10,10,40,2,2,1,Family,Portugal,Direct,Direct,0,0,0,1,No Deposit,0,13050,0,0,26100
Resort Hotel,0.00,7,0-30,2017,3,3,9,2,3,2,Family,United Kingdom,Groups,Corporate,0,0,0,1,No Deposit,0,3330,0,0,9990
Resort Hotel,0.00,4,0-30,2016,4,4,15,9,5,2,Family,Unknown,Online TA,TA/TO,0,0,0,0,No Deposit,0,6030,0,1,30150
City Hotel,1.00,308,180+,2017,7,7,27,5,7,2,Family,United Kingdom,Online TA,TA/TO,0,0,0,0,No Deposit,0,9315,0,1,65205
City Hotel,1.00,28,0-30,2015,9,9,37,12,3,2,Family,Portugal,Online TA,TA/TO,0,0,0,0,No Deposit,0,10530,0,1,31590
Resort Hotel,0.00,2,0-30,2017,2,2,5,3,2,2,Family,Spain,Online TA,TA/TO,0,0,0,0,No Deposit,0,7830,1,1,15660
Resort Hotel,1.00,129,91-180,2016,8,8,33,12,3,2,Family,Spain,Online TA,TA/TO,0,0,0,0,No Deposit,0,17010,0,0,51030
City Hotel,0.00,33,31-90,2016,2,2,7,8,4,2,Family,Portugal,Online TA,TA/TO,0,0,0,0,No Deposit,0,7227,0,1,28908
City Hotel,0.00,4,0-30,2016,1,1,1,2,2,1,Family,Unknown,Online TA,TA/TO,0,0,0,0,No Deposit,0,8730,0,2,17460
Resort Hotel,1.00,68,31-90,2017,1,1,1,3,7,2,Family,Unknown,Online TA,TA/TO,0,0,0,0,No Deposit,0,3402,0,1,23814
Resort Hotel,0.00,1,0-30,2016,4,4,15,6,7,2,Family,Portugal,Online TA,TA/TO,0,0,0,0,No Deposit,0,5850,0,1,40950
City Hotel,1.00,332,180+,2017,7,7,26,1,4,2,Family,Germany,Online TA,TA/TO,0,0,0,0,No Deposit,0,10206,0,2,40824
City Hotel,0.00,51,31-90,2017,7,7,28,11,4,5,Family,Unknown,Online TA,TA/TO,0,0,0,1,No Deposit,0,28935,0,1,115740
Resort Hotel,0.00,3,0-30,2017,7,7,28,10,3,2,Family,Spain,Online TA,TA/TO,0,0,0,0,No Deposit,0,8064,0,1,24192
City Hotel,0.00,19,0-30,2017,2,2,6,10,2,2,Family,Belgium,Online TA,TA/TO,0,0,0,0,No Deposit,0,10845,0,1,21690
Resort Hotel,0.00,18,0-30,2016,4,4,16,11,1,1,Family,Portugal,Direct,Direct,0,0,0,4,No Deposit,0,5040,0,0,5040
